,item_id,amount,currency,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş
1260,9483153,7500,AZN,Bakı,Nissan,Maxima,2005,Sedan,Qara,3.0 L / 200 a.g. / Benzin,400 000 km
1261,9500391,24400,AZN,Bakı,Kia,Sorento,2011,"Offroader / SUV, 5 qapı",Qara,2.4 L / 174 a.g. / Benzin,195 000 km
1262,9509119,9800,AZN,Bakı,Kia,Rio,2007,"Hetçbek, 5 qapı",Gümüşü,1.4 L / 97 a.g. / Benzin,249 301 km
1263,9362529,8800,AZN,Bakı,LADA (VAZ),Niva,2015,"Offroader / SUV, 3 qapı",Ağ,1.7 L / 80 a.g. / Benzin,194 182 km
1264,9484297,24400,USD,Bakı,BMW,520,2015,Sedan,Boz,2.0 L / 190 a.g. / Dizel,185 000 km
1265,9514995,72900,USD,Bakı,Denza,N9,2025,"Offroader / SUV, 5 qapı",Qara,2.0 L / 925 a.g. / Plug-in Hibrid,0 km
1266,9502436,3200,AZN,Bakı,LADA (VAZ),21099,2001,Sedan,Yaş Asfalt,1.5 L / 78 a.g. / Benzin,200 000 km
1267,9419316,8000,AZN,Bakı,Chery,Tiggo (T11),2007,"Offroader / SUV, 5 qapı",Gümüşü,2.0 L / 136 a.g. / Benzin,236 152 km
1268,9437740,22950,AZN,Bakı,Hyundai,Santa Fe,2012,"Offroader / SUV, 5 qapı",Ağ,2.2 L / 197 a.g. / Dizel,186 000 km
1269,9447881,18500,USD,Bakı,Changan,Qiyuan Q07,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,1.5 L / 218 a.g. / Plug-in Hibrid,0 km
1270,9452045,21900,AZN,Bakı,Hyundai,Santa Fe,2010,"Offroader / SUV, 5 qapı",Qara,2.4 L / 175 a.g. / Benzin,260 000 km
1271,9483504,27200,AZN,Bakı,Kia,Sportage,2015,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 184 a.g. / Dizel,88 000 km
