,amount,city,marka,model,year,type,color,distance,motor_volume,horse_power,motor_type,is_outlier
2335,23900.0,Bakı,BMW,528,2013,Sedan,Yaş Asfalt,210000,2.0,245,Benzin,False
2336,3800.0,Sumqayıt,BMW,316,1994,Sedan,Qara,256565,1.6,102,Benzin,False
2337,26843.0,Bakı,Changan,CS 55 Plus,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,0,1.5,215,Plug-in Hibrid,False
2338,56100.0,Bakı,Toyota,Camry,2022,Sedan,Qara,21000,2.5,218,Hibrid,False
2339,15800.0,Bakı,Chevrolet,Cruze,2015,Sedan,Yaş Asfalt,190000,1.4,141,Benzin,False
2340,30430.0,Bakı,Changan,Deepal S05,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,0,1.5,316,Plug-in Hibrid,False
2341,8400.0,Bakı,LADA (VAZ),Niva,2019,"Offroader / SUV, 3 qapı",Ağ,130000,1.7,80,Benzin,False
2342,45730.0,Bakı,Mitsubishi,Outlander Sport,2025,"Offroader / SUV, 5 qapı",Qara,0,1.5,141,Benzin,False
2343,36500.0,Gəncə,Porsche,Cayenne GTS,2014,"Offroader / SUV, 5 qapı",Ağ,160000,4.8,420,Benzin,True
2344,10700.0,Tovuz,Mercedes,C 240,1997,Sedan,Yaşıl,320541,2.4,170,Benzin,False
2345,32470.0,Bakı,Ford,Mustang,2017,Kupe,Boz,139700,2.3,317,Benzin,False
2346,14500.0,Bakı,Nissan,Sunny,2013,Sedan,Ağ,177417,1.5,99,Benzin,False
2347,30000.0,Bakı,Mercedes,S 320,1996,Sedan,Qara,79000,3.2,231,Benzin,False
2348,23500.0,Bakı,Hyundai,Santa Fe,2009,"Offroader / SUV, 5 qapı",Ağ,118000,2.2,197,Dizel,False
2349,19900.0,Bakı,Chevrolet,Malibu,2019,Sedan,Qara,134000,1.5,160,Benzin,False
2350,6900.0,Sumqayıt,Opel,Astra,1998,"Universal, 5 qapı",Göy,306000,1.6,101,Benzin,False
2351,25000.0,Şirvan,Kia,Forte,2020,Sedan,Ağ,164153,2.0,147,Benzin,False
2352,22800.0,Bakı,Hyundai,Santa Fe,2008,"Offroader / SUV, 5 qapı",Ağ,135000,2.7,189,Benzin,False
2353,111350.0,Bakı,BYD,Leopard 8,2025,"Offroader / SUV, 5 qapı",Qara,0,2.0,952,Plug-in Hibrid,True
2354,35190.0,Bakı,Changan,Uni-V iDD,2025,Liftbek,Ağ,0,1.5,325,Plug-in Hibrid,False
2355,37383.0,Bakı,Toyota,Frontlander,2024,"Offroader / SUV, 5 qapı",Ağ,0,2.0,197,Hibrid,False
2356,21500.0,Bakı,Kia,Rio,2019,Sedan,Ağ,92666,1.6,140,Benzin,False
2357,13000.0,Bakı,Royal Enfield,Super Meteor 650,2024,Motosiklet,Qara,2700,0.0,47,Benzin,False
2358,15500.0,Lənkəran,Volkswagen,Polo,2015,Sedan,Ağ,289300,1.6,105,Benzin,False
2359,39000.0,Şirvan,Toyota,Land Cruiser Prado,2012,"Offroader / SUV, 5 qapı",Ağ,182000,2.7,163,Benzin,False
2360,31200.0,Bakı,Hyundai,Sonata,2020,Sedan,Qara,57000,2.5,180,Benzin,False
2361,9100.0,Gəncə,ZIL,130,1984,Yük maşını,Mavi,200000,3.8,100,Benzin,False
2362,11500.0,Bakı,Hyundai,Getz,2008,"Hetçbek, 5 qapı",Qara,130000,1.6,106,Benzin,False
2363,23783.0,Bakı,Changan,Qiyuan Q05,2025,"Offroader / SUV, 5 qapı",Ağ,0,1.5,215,Plug-in Hibrid,False
2364,35900.0,Bakı,Hyundai,Sonata,2019,Sedan,Ağ,107000,1.6,183,Benzin,False
2365,135830.0,Bakı,BMW,X7,2020,"Offroader / SUV, 5 qapı",Göy,98000,3.0,249,Dizel,False
2366,25500.0,Bakı,Nissan,Kicks,2019,"Offroader / SUV, 5 qapı",Qırmızı,55900,1.6,125,Benzin,False
2367,63920.0,Bakı,Toyota,RAV4,2024,"Offroader / SUV, 5 qapı",Qara,0,2.5,222,Hibrid,False
2368,10000.0,Bakı,Khazar,SD,2019,Sedan,Ağ,202000,1.7,113,Benzin,False
2369,404600.0,Bakı,Land Rover,Range Rover,2024,"Offroader / SUV, 5 qapı",Qara,7000,3.0,400,Benzin,False
2370,23630.0,Bakı,Changan,Qiyuan Q05,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,0,1.5,215,Plug-in Hibrid,False
2371,14500.0,Xırdalan,BMW,530,2004,Sedan,Gümüşü,243567,3.0,231,Benzin,False
2372,8000.0,Yevlax,Kia,Rio,2008,Sedan,Qara,208659,1.4,97,Benzin,False
2373,16500.0,Bakı,Ford,Fusion (North America),2014,Sedan,Qara,294000,1.5,181,Benzin,False
2374,8800.0,Bakı,BMW,520,2002,Sedan,Gümüşü,270000,2.2,170,Benzin,False
2375,20500.0,Bakı,Hyundai,Sonata,2009,Sedan,Ağ,237000,2.0,165,Benzin,False
2376,28390.0,Bakı,Harley-Davidson,Sportster Roadster,2020,Motosiklet,Qara,6000,0.0,76,Benzin,False
2377,11500.0,Bakı,Kia,Rio,2008,"Hetçbek, 5 qapı",Qara,235000,1.5,110,Dizel,False
2378,24300.0,Bakı,JAC,JS4,2025,"Offroader / SUV, 5 qapı",Qara,0,1.5,147,Benzin,False
2379,39200.0,Bakı,Toyota,Frontlander,2025,"Offroader / SUV, 5 qapı",Ağ,0,2.0,196,Hibrid,False
2380,17900.0,Sumqayıt,Mercedes,E 270,2002,Sedan,Gümüşü,470000,2.7,170,Dizel,False
2381,133110.0,Bakı,Land Rover,Range Rover,2021,"Offroader / SUV, 5 qapı",Yaş Asfalt,84000,3.0,400,Benzin,False
2382,20000.0,Bakı,DAF,105 XF,2007,Dartqı,Ağ,1300000,12.0,440,Dizel,True
2383,73500.0,Bakı,Mercedes,Sprinter 515,2014,Mikroavtobus,Yaş Asfalt,385000,2.2,163,Dizel,False
2384,15500.0,Bakı,Benda,Dark Flag 500 Commander,2025,Motosiklet,Qara,0,0.0,54,Benzin,False
2385,10200.0,Salyan,Khazar,LX,2020,Sedan,Ağ,297300,1.7,113,Benzin,False
2386,41500.0,Bakı,Toyota,Land Cruiser Prado,2011,"Offroader / SUV, 5 qapı",Ağ,180000,2.7,163,Benzin,False
2387,79730.0,Bakı,Audi,A7 Sportback,2018,Liftbek,Qara,45000,3.0,338,Benzin,False
2388,18900.0,Bakı,Toyota,Camry,2007,Sedan,Ağ,215000,2.4,167,Benzin,False
2389,37500.0,Bakı,Mercedes,E 200,2013,Kupe,Qara,150000,2.0,184,Benzin,False
2390,10300.0,Göyçay,Chevrolet,Cruze,2012,Sedan,Qırmızı,381000,1.4,140,Benzin,False
2391,57630.0,Bakı,Toyota,Camry,2024,Sedan,Ağ,0,2.0,197,Hibrid,False
2392,39900.0,Bakı,Chery,Tiggo 7 Pro,2024,"Offroader / SUV, 5 qapı",Boz,0,1.5,172,Hibrid,False
2393,8700.0,Bakı,Hyundai,Elantra,2005,Sedan,Qara,226943,2.0,143,Benzin,False
2394,51000.0,Bakı,BMW,X5,2015,"Offroader / SUV, 5 qapı",Ağ,148000,3.0,306,Benzin,False
2395,106250.0,Bakı,Land Rover,Defender,2020,"Offroader / SUV, 5 qapı",Qara,71498,2.0,300,Benzin,False
2396,23700.0,Bakı,BYD,Destroyer 05,2025,Sedan,Ağ,0,1.5,290,Plug-in Hibrid,False
2397,16200.0,Bakı,Honda,Insight,2010,Liftbek,Ağ,431000,1.3,88,Hibrid,False
2398,23800.0,Bakı,Changan,Qiyuan A05,2025,Sedan,Yaş Asfalt,0,1.5,190,Plug-in Hibrid,False
2399,3500.0,Bakı,Bajaj,Pulsar RS 200,2018,Motosiklet,Qırmızı,11000,0.0,37,Benzin,False
2400,20900.0,Bakı,Mercedes,E 220 d,2007,"Universal, 5 qapı",Qara,545783,2.2,170,Dizel,False
2401,34500.0,Bakı,Hyundai,Santa Fe,2015,"Offroader / SUV, 5 qapı",Yaş Asfalt,258000,2.2,197,Dizel,False
2402,24800.0,Bakı,DFSK,Glory 330 S Cargo,2024,Furqon,Ağ,0,1.5,115,Benzin,False
2403,26500.0,Bakı,Kia,Sorento,2014,"Offroader / SUV, 5 qapı",Qara,170000,2.0,184,Dizel,False
2404,48790.0,Bakı,Porsche,Panamera 4S,2011,Liftbek,Qara,78000,4.8,400,Benzin,False
2405,61200.0,Bakı,Kia,Sorento,2022,"Offroader / SUV, 5 qapı",Qara,55000,1.6,230,Hibrid,False
2406,94350.0,Bakı,Toyota,Land Cruiser Prado,2018,"Offroader / SUV, 5 qapı",Boz,89000,2.8,177,Dizel,False
2407,22000.0,Bakı,Kia,Optima,2013,Sedan,Boz,180247,2.0,274,Benzin,False
2408,19000.0,Bakı,Nissan,X-Trail,2012,"Offroader / SUV, 5 qapı",Ağ,219000,2.5,170,Benzin,False
2409,17500.0,Bakı,Toyota,Land Cruiser,2005,"Offroader / SUV, 5 qapı",Qara,422000,4.5,224,Benzin,False
2410,75650.0,Bakı,Mercedes,E 300 de,2020,Sedan,Qara,33000,2.0,320,Dizel-Hibrid,False
2411,31700.0,Xırdalan,Mercedes,E 220 d,2015,Sedan,Qara,239256,2.2,170,Dizel,False
2412,255000.0,Bakı,Ford,Mustang,1969,Kupe,Qırmızı,7308,5.8,294,Benzin,False
2413,44030.0,Bakı,Jeep,Grand Cherokee,2016,"Offroader / SUV, 5 qapı",Qara,147000,3.6,286,Benzin,False
2414,16500.0,Bakı,Kia,Morning,2016,"Hetçbek, 5 qapı",Ağ,135000,1.0,82,Benzin,False
2415,71400.0,Bakı,Hyundai,Santa Fe,2021,"Offroader / SUV, 5 qapı",Ağ,1400,2.5,180,Benzin,False
2416,9200.0,Bakı,Toyota,Prius,2008,Liftbek,Qırmızı,320000,1.5,76,Hibrid,False
2417,16500.0,Bakı,Chevrolet,Cruze,2017,"Hetçbek, 5 qapı",Yaşıl,95000,1.4,153,Benzin,False
2418,7500.0,Bakı,Renault,Megane,2006,"Universal, 5 qapı",Yaş Asfalt,330000,1.5,105,Dizel,False
2419,22500.0,Bakı,Hyundai,Santa Fe,2012,"Offroader / SUV, 5 qapı",Ağ,272000,2.4,175,Benzin,False
2420,19500.0,Xaçmaz,Mercedes,E 200,2005,Sedan,Yaş Asfalt,245000,1.8,163,Benzin,False
2421,50830.0,Bakı,Mercedes,GLC 300,2019,"Offroader / SUV, 5 qapı",Göy,67000,2.0,245,Benzin,False
2422,25800.0,Bakı,Ford,Transit,2007,Furqon,Ağ,228000,2.4,140,Dizel,False
2423,2400.0,Quba,GAZ,3110,2003,Sedan,Qara,300000,2.3,131,Benzin,False
2424,18900.0,Bakı,Ford,Fusion (North America),2018,Sedan,Yaş Asfalt,229000,1.5,184,Benzin,False
2425,83300.0,Bakı,Bentley,Continental GT,2010,Kupe,Ağ,69353,6.0,630,Benzin,True
2426,27500.0,Bakı,Toyota,Land Cruiser Prado,2008,"Offroader / SUV, 5 qapı",Ağ,189915,2.7,163,Benzin,False
2427,65790.0,Bakı,Mercedes,GLS 450 4MATIC,2017,"Offroader / SUV, 5 qapı",Ağ,121000,3.0,367,Benzin,False
2428,18000.0,Bakı,Kia,Soul,2013,"Hetçbek, 5 qapı",Qara,142000,1.6,140,Benzin,False
2429,13400.0,Bakı,Mercedes,E 220 d,2000,Sedan,Tünd qırmızı,298000,2.2,143,Dizel,False
2430,46750.0,Bakı,Toyota,Land Cruiser Prado,2014,"Offroader / SUV, 5 qapı",Ağ,142800,2.7,163,Benzin,False
2431,29000.0,Bakı,Kia,Sorento,2014,"Offroader / SUV, 5 qapı",Yaş Asfalt,199000,2.0,184,Dizel,False
2432,10700.0,Ağdaş,LADA (VAZ),2115,2012,Sedan,Tünd qırmızı,130500,1.5,75,Benzin,False
2433,71400.0,Bakı,Land Rover,Range Rover,2016,"Offroader / SUV, 5 qapı",Qara,98000,3.0,249,Dizel,False
2434,28800.0,Bakı,Volkswagen,Crafter,2016,Furqon,Bej,252416,2.0,163,Dizel,False
2435,30800.0,Bakı,Changan,Qiyuan Q05,2025,"Offroader / SUV, 5 qapı",Ağ,0,1.5,215,Plug-in Hibrid,False
2436,12900.0,Bakı,Daewoo,Gentra,2014,Sedan,Ağ,177000,1.5,107,Benzin,False
2437,34833.0,Bakı,Changan,Hunter,2025,"Pikap, ikiqat kabin",Ağ,0,2.0,177,Plug-in Hibrid,False
2438,25000.0,Bakı,Ford,Transit,2011,Furqon,Ağ,242611,2.4,140,Dizel,False
2439,23000.0,Bakı,Kia,Sportage,2013,"Offroader / SUV, 5 qapı",Ağ,115000,2.0,163,Benzin,False
2440,70550.0,Bakı,Toyota,Crown Kluger,2024,"Offroader / SUV, 5 qapı",Göy,0,2.5,237,Plug-in Hibrid,False
2441,14400.0,Bakı,Chevrolet,Cruze,2015,Sedan,Qəhvəyi,216136,1.4,141,Benzin,False
2442,59840.0,Bakı,Land Rover,Discovery,2015,"Offroader / SUV, 5 qapı",Ağ,70000,3.0,340,Benzin,False
2443,14800.0,Bakı,Mercedes,E 220 d,2001,Sedan,Yaş Asfalt,388322,2.2,143,Dizel,False
2444,4500.0,Bakı,Opel,Astra,1997,"Universal, 5 qapı",Qara,248000,1.6,75,Benzin,False
2445,11800.0,Bakı,Opel,Astra,2009,"Hetçbek, 5 qapı",Gümüşü,165000,1.4,90,Benzin,False
2446,8700.0,Bakı,LADA (VAZ),Niva,2013,"Offroader / SUV, 3 qapı",Ağ,179000,1.7,80,Benzin,False
2447,66000.0,Bakı,Mercedes,Axor 2533,2011,Yük maşını,Ağ,795000,7.0,330,Dizel,False
2448,76330.0,Bakı,Toyota,Camry,2024,Sedan,Qızılı,0,2.5,225,Hibrid,False
2449,40000.0,Bakı,Hyundai,Santa Fe,2020,"Offroader / SUV, 5 qapı",Qəhvəyi,23000,2.0,240,Benzin,False
2450,30515.0,Bakı,Toyota,Corolla,2024,Sedan,Ağ,0,1.8,138,Hibrid,False
2451,23200.0,Bakı,Hyundai,Elantra,2016,Sedan,Yaş Asfalt,100650,1.6,204,Benzin,False
2452,18900.0,Bakı,Hyundai,Accent,2012,Sedan,Yaş Asfalt,72000,1.6,140,Benzin,False
2453,39100.0,Bakı,Chery,Tiggo 8 Pro,2023,"Offroader / SUV, 5 qapı",Qara,5900,1.6,186,Benzin,False
2454,14900.0,Bakı,Mercedes,E 280,2006,Sedan,Gümüşü,231232,3.0,231,Benzin,False
2455,10900.0,Göygöl,Opel,Astra,2006,"Hetçbek, 5 qapı",Yaş Asfalt,230000,1.4,90,Benzin,False
2456,25700.0,Bakı,JAC,J7,2025,Sedan,Qara,0,1.5,150,Benzin,False
2457,28150.0,Bakı,Hyundai,Santa Fe,2017,"Offroader / SUV, 5 qapı",Qara,168299,2.0,184,Dizel,False
2458,4400.0,Bakı,Tofas,Sahin,2004,Sedan,Qara,158888,1.6,92,Benzin,False
2459,50500.0,Bakı,Mercedes,Vito,2017,Minivan,Ağ,250000,2.2,163,Dizel,False
2460,338300.0,Bakı,BMW,XM,2023,"Offroader / SUV, 5 qapı",Qara,6000,4.4,653,Plug-in Hibrid,True
2461,26500.0,Bakı,Nissan,X-Trail,2016,"Offroader / SUV, 5 qapı",Gümüşü,119000,2.0,144,Benzin,False
2462,37900.0,Bakı,Toyota,Land Cruiser Prado,2012,"Offroader / SUV, 5 qapı",Ağ,234851,2.7,163,Benzin,False
2463,22900.0,Bakı,Hyundai,Accent,2021,Sedan,Ağ,146900,1.6,140,Benzin,False
2464,22300.0,Bakı,Hyundai,Santa Fe,2011,"Offroader / SUV, 5 qapı",Ağ,186000,2.4,175,Benzin,False
2465,33900.0,Bakı,Kia,Sorento,2015,"Offroader / SUV, 5 qapı",Qara,143300,2.0,184,Dizel,False
2466,27500.0,Mingəçevir,Mercedes,Sprinter 311,2007,Yük maşını,Ağ,350000,2.2,129,Dizel,False
2467,39000.0,Gəncə,MAN,TGA 26.440,2008,Dartqı,Ağ,550000,11.0,440,Dizel,True
2468,46410.0,Bakı,Mercedes,GLC 300,2016,"Offroader / SUV, 5 qapı",Qara,150000,2.0,245,Benzin,False
2469,25000.0,Bakı,Mercedes,Vito 115,2008,Minivan,Gümüşü,654940,2.2,150,Dizel,False
2470,40460.0,Bakı,Toyota,Frontlander,2025,"Offroader / SUV, 5 qapı",Qara,0,2.0,197,Hibrid,False
2471,43000.0,Bakı,BMW,X5,2015,"Offroader / SUV, 5 qapı",Ağ,140000,3.0,306,Benzin,False
2472,4900.0,Şəki,UAZ,452,1985,Yük maşını,Yaşıl,65000,2.5,76,Benzin,False
2473,11800.0,Sumqayıt,Toyota,Corolla,2007,"Hetçbek, 5 qapı",Gümüşü,356000,1.4,90,Dizel,False
2474,42483.0,Bakı,Volkswagen,ID.UNYX,2024,SUV Kupe,Yaş Asfalt,0,0.0,231,Elektrik,False
2475,54000.0,Bakı,Mercedes,Vito,2017,Minivan,Qara,245000,2.0,211,Benzin,False
2476,14800.0,Bakı,Nissan,Teana,2008,Sedan,Ağ,256000,2.5,173,Benzin,False
2477,12000.0,Bakı,Volkswagen,Jetta,2011,Sedan,Qara,270000,1.6,105,Benzin,False
2478,315350.0,Bakı,Porsche,Panamera GTS,2024,Liftbek,Boz,2414,4.0,480,Benzin,True
